id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1438099112440836099,1438099112440836099,2021-09-15 14:15:21 GTB Yaz Saati,2021-09-15,14:15:21,+0300,3013141714,sonyabarlowuk,Sonya Barlow,,"Quick Q - how do we reply back to companies who have asked us for tenders, proposals, interviews, answers but never responded to the request or told us if we got the gig? The system is broken. Small business owners wear alot of hats and it's taxing.  #hustle #business #startup",en,[],[],[],1,1,1,"['hustle', 'business', 'startup']",[],https://twitter.com/sonyabarlowuk/status/1438099112440836099,False,,0,,,,,,,,[],,,,
1438024717340864515,1437808616187121666,2021-09-15 09:19:44 GTB Yaz Saati,2021-09-15,09:19:44,+0300,92485355,ashishgupta001,Fauzi of #AzadMardFauz,,@PriyaScifi @khabribanda Actually I plan to do so for the new startup I am working on. Will advertise to hire only male for certain caste and religion.  Request those who already have companies/establishments and hire people to follow same. Then let's see how rotten legal system responds.,en,[],[],[],1,1,4,[],[],https://twitter.com/ashishgupta001/status/1438024717340864515,False,,0,,,,,,,,"[{'screen_name': 'PriyaScifi', 'name': 'Priya Sharma', 'id': '1260189749014417411'}, {'screen_name': 'khabribanda', 'name': 'Gabbar 2.0', 'id': '25558929'}]",,,,
1437830365608022025,1437829798177513475,2021-09-14 20:27:27 GTB Yaz Saati,2021-09-14,20:27:27,+0300,1277419984684085248,josephinekchen,Josephine Chen,,"@EricTLiu @shawnxu Thank you to our incredible domain experts who will host office hours, idea reviews and request for startups.  @CharleyMa, @ashleypaston, @michael_vaughan, @mengxilu, @jameslidotcom, @kbakes, Chirag at Define VC, Kiran at Lightyear, and Emily at Healthworx!",en,"[{'screen_name': 'charleyma', 'name': 'charley ma', 'id': '18996396'}, {'screen_name': 'ashleypaston', 'name': 'ashleypaston', 'id': '884333864'}, {'screen_name': 'michael_vaughan', 'name': 'michael vaughan', 'id': '19196940'}, {'screen_name': 'mengxilu', 'name': 'mengxi lu', 'id': '124508864'}, {'screen_name': 'jameslidotcom', 'name': 'james li', 'id': '95782354'}, {'screen_name': 'kbakes', 'name': 'kristin baker spohn', 'id': '116534349'}]",[],[],0,0,4,[],[],https://twitter.com/josephinekchen/status/1437830365608022025,False,,0,,,,,,,,"[{'screen_name': 'EricTLiu', 'name': 'Eric Liu', 'id': '1343171947'}, {'screen_name': 'shawnxu', 'name': 'Shawn Xu', 'id': '74112193'}]",,,,
1437817079328088070,1437817079328088070,2021-09-14 19:34:39 GTB Yaz Saati,2021-09-14,19:34:39,+0300,2196819322,the_amazingama,"ama, the amazing",,Startup idea: an app that let's you find supermarkets near you and pay for groceries beforehand. So all you need to do is arrive and pickup (can request delivery too)  Tired of these queues  at ShopRite 😩,en,[],[],[],1,0,2,[],[],https://twitter.com/the_amazingama/status/1437817079328088070,False,,0,,,,,,,,[],,,,
1437815250250657792,1437815242415755270,2021-09-14 19:27:23 GTB Yaz Saati,2021-09-14,19:27:23,+0300,1343171947,erictliu,Eric Liu,,"We have a network of superstar domain experts that host office hours, idea reviews and request for startups. Our experts: @CharleyMa @ashleypaston @michael_vaughan @mengxilu @jameslidotcom @kbakes, Chirag at Define VC, Kiran at Lightyear, and Emily at Healthworx",en,"[{'screen_name': 'charleyma', 'name': 'charley ma', 'id': '18996396'}, {'screen_name': 'ashleypaston', 'name': 'ashleypaston', 'id': '884333864'}, {'screen_name': 'michael_vaughan', 'name': 'michael vaughan', 'id': '19196940'}, {'screen_name': 'mengxilu', 'name': 'mengxi lu', 'id': '124508864'}, {'screen_name': 'jameslidotcom', 'name': 'james li', 'id': '95782354'}, {'screen_name': 'kbakes', 'name': 'kristin baker spohn', 'id': '116534349'}]",[],[],1,0,7,[],[],https://twitter.com/EricTLiu/status/1437815250250657792,False,,0,,,,,,,,[],,,,
1437781821203402757,1437781821203402757,2021-09-14 17:14:33 GTB Yaz Saati,2021-09-14,17:14:33,+0300,178561063,marketingmax,Marketing Max,,Request for startup: Glassdoor for influencers - to see how much other influencers with similar engagement &amp; followers get for paid for posts,en,[],[],[],2,0,5,[],[],https://twitter.com/MarketingMax/status/1437781821203402757,False,,0,,,,,,,,[],,,,
1437757170976710659,1437734947809337344,2021-09-14 15:36:36 GTB Yaz Saati,2021-09-14,15:36:36,+0300,2417897353,asmith2306,A,,"@devatTheCave I'm not liking these explanations. A server is simply a program (or application if you prefer) that runs on a computer with the key element of it being that it stay running after startup and ""listens"" for client requests.",en,[],[],[],1,1,4,[],[],https://twitter.com/asmith2306/status/1437757170976710659,False,,0,,,,,,,,"[{'screen_name': 'devatTheCave', 'name': 'Mahmood Tareq', 'id': '784820524354564096'}]",,,,
1437740481249693698,1437740481249693698,2021-09-14 14:30:17 GTB Yaz Saati,2021-09-14,14:30:17,+0300,14173057,keff85,Tomáš Kafka,,"Request for startup: Vyberte někdo jednou za týden slow news a good news z @enkocz, propojte to trochou omáčky, která to spojí a dá do kontextu, a chargněte si $5/mo na substacku. Deal? #inovacevmediich",cs,"[{'screen_name': 'enkocz', 'name': 'deník n', 'id': '1014054645138886656'}]",[],[],0,0,0,['inovacevmediich'],[],https://twitter.com/keff85/status/1437740481249693698,False,https://twitter.com/keff85/status/1437720969527898114,0,,,,,,,,[],,,,
1437699647083065349,1437699647083065349,2021-09-14 11:48:01 GTB Yaz Saati,2021-09-14,11:48:01,+0300,1405484866624446473,pickstaruk,PickstarUK,,"NEW on Pickstar: Uptin Saiidi ✨  @uptin Saiidi is a Multimedia Journalist for CNBC International, currently based in Dubai. He covers China, technology, travel, startups, sharing economy, the future of work and more.   Start a request ↓  https://t.co/STN7SRp3V9  https://t.co/FZWZkVnSBk",en,"[{'screen_name': 'uptin', 'name': 'uptin', 'id': '25107515'}]",['http://pickstar.pro/gb/our-stars/11384/uptin-saiidi'],['https://pbs.twimg.com/media/E_O8NSwWQAANW7s.jpg'],0,1,2,[],[],https://twitter.com/PickstarUK/status/1437699647083065349,False,,1,https://pbs.twimg.com/media/E_O8NSwWQAANW7s.jpg,,,,,,,[],,,,
1437463102182801408,1437463102182801408,2021-09-13 20:08:04 GTB Yaz Saati,2021-09-13,20:08:04,+0300,212794144,michaelnovinson,Michael Novinson,,.@TenableSecurity To Buy Cloud Security Startup @AccuricsSec For $160M  https://t.co/XXPnmvXuGJ  ‘We can ensure that what is deployed is secure by default and that any fixes are a simple merge request rather than a patch or operational afterthought’ -Renaud Deraison.  $TENB @CRN,en,"[{'screen_name': 'tenablesecurity', 'name': 'tenable', 'id': '34732682'}, {'screen_name': 'accuricssec', 'name': 'accuricssec', 'id': '1243883961270452226'}, {'screen_name': 'crn', 'name': 'crn', 'id': '19238948'}]",['https://www.crn.com/news/security/tenable-to-buy-cloud-security-startup-accurics-for-160m'],[],0,2,1,[],['tenb'],https://twitter.com/MichaelNovinson/status/1437463102182801408,False,,0,,,,,,,,[],,,,
